﻿Title:,"Table 6 - HE Staff FTE by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff (excluding atypical)"
"10003645","King's College London","0","4,555","0","0","4,555"
"10003678","Kingston University","5","805","45","0","855"
"10003758","LAMDA Limited","0","65","0","0","65"
"10007141","University of Lancashire","0","1,420","45","0","1,465"
"10007768","The University of Lancaster","0","1,565","5","0","1,570"
"10003854","Leeds Arts University*","0","135","5","0","140"
"10003861","Leeds Beckett University","5","1,175","40","0","1,220"
"10034449","Leeds Conservatoire","0","55","0","0","55"
"10007795","The University of Leeds","0","3,605","5","0","3,605"
"10003863","Leeds Trinity University","5","245","0","0","250"
"10082828","College of Legal Practice Limited*","0","5","0","0","5"
"10007796","The University of Leicester","0","1,680","0","0","1,680"
"10007151","The University of Lincoln","0","1,200","0","0","1,200"
"10007811","Lincoln Bishop University","0","105","0","0","105"
"10036456","Academy of Live Technology Ltd*","0","15","0","0","15"
"10003956","Liverpool Hope University","0","300","0","0","300"
"10003957","Liverpool John Moores University*","0","1,525","15","0","1,545"
"10031239","LMA*","5","30","0","0","30"
