﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Financial Year End","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10004180","The Manchester Metropolitan University","2019-07-31","263,334","29,133","9,555","32,064","1,863","131","336,080","205,160","7,870","106,484","14,766","3,986","338,266"
"10007798","The University of Manchester","2019-07-31","479,359","131,653","323,528","149,572","7,639","6,138","1,097,889","705,521","7,430","378,674","78,800","23,601","1,194,026"
"10009527","Istituto Marangoni Limited","2018-12-31","13,767","0","0","10","771","0","14,548","3,074","0","4,611","464","0","8,149"
"10009527","Istituto Marangoni Limited","2019-06-30","9,429","0","0","10","402","0","9,841","1,796","0","2,750","261","0","4,807"
"10023452","The Markfield Institute of Higher Education","2018-12-31","368","0","0","63","0","97","528","315","0","222","1","0","538"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","2018-08-31","313","0","0","3","0","0","316","127","0","145","3","0","275"
"10020416","Missio Dei","2019-06-30","489","0","0","596","3","1,133","2,221","989","0","1,202","59","3","2,253"
"10030776","St Mellitus College","2019-07-31","3,045","0","0","46","1","145","3,237","761","0","2,397","3","2","3,163"
"10004320","The Metanoia Institute","2018-08-31","1,434","0","52","1,995","4","0","3,485","2,515","0","796","75","0","3,386"
"10004351","Middlesex University","2019-07-31","157,608","17,775","4,529","31,632","411","220","212,175","119,245","0","68,687","11,601","6,811","206,344"
"10032277","The Minster Centre","2018-12-31","1,177","0","0","212","1","2","1,392","918","0","477","14","0","1,409"
"10004450","Mountview Academy of Theatre Arts","2018-08-31","5,200","87","0","1,446","17","139","6,889","3,419","0","3,219","29","0","6,667"
"10023777","Mont Rose College of Management and Sciences Limited","2018-08-31","7,235","0","0","1","0","0","7,236","1,928","0","2,957","119","0","5,004"
"10023454","Moorlands College","2019-06-30","1,398","0","0","568","4","73","2,043","1,218","0","840","117","0","2,175"
"10000216","All Nations Christian College Limited","2018-08-31","670","0","0","607","11","366","1,654","770","0","693","93","0","1,556"
"10053304","Navitas UK Holdings Limited","2019-06-30","0","0","0","44,518","0","0","44,518","13,912","0","30,039","173","(17)","44,107"
"10004538","Nazarene Theological College","2019-06-30","873","0","0","369","4","278","1,524","859","0","593","31","12","1,495"
"10030129","Nelson College London Ltd","2019-07-31","5,707","0","0","360","1","0","6,068","1,699","0","3,332","37","36","5,104"
"10007799","Newcastle University","2019-07-31","264,476","71,939","108,676","117,043","2,504","5,968","570,606","387,757","0","199,394","28,537","6,246","621,934"
"10045289","St Nicholas Montessori Training Limited","2018-08-31","538","0","0","673","1","0","1,212","671","0","310","1","0","982"
"10067406","New Model Institute for Technology and Engineering (NMITE)","2019-07-31","0","168","0","3,868","2","282","4,320","1,657","0","2,019","70","4","3,750"
"10048199","Northeastern University London","2018-08-31","1,714","0","0","19","0","0","1,733","3,131","0","3,174","1","0","6,306"
"10048199","Northeastern University London","2019-06-30","1,626","0","0","677","0","0","2,303","2,723","0","2,206","6","597","5,532"
"10008397","Norland College","2019-07-31","3,977","0","0","681","42","0","4,700","2,253","0","1,709","332","14","4,308"
"10007138","The University of Northampton","2019-07-31","92,472","7,000","1,139","23,968","400","440","125,419","67,833","0","50,799","11,822","11,454","141,908"
"10004740","Northern College of Acupuncture","2019-06-30","935","0","0","41","19","4","999","481","0","590","7","0","1,078"
"10001282","University of Northumbria at Newcastle","2019-07-31","193,770","20,347","8,620","30,830","325","266","254,158","166,007","0","77,558","20,168","5,875","269,608"
"10004775","Norwich University of the Arts","2019-07-31","20,536","1,910","137","1,202","243","37","24,065","11,472","0","6,420","1,166","239","19,297"
"10007154","University of Nottingham","2019-07-31","356,615","90,919","124,294","125,096","2,033","2,276","701,233","475,329","0","270,466","41,353","4,852","792,000"
