﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2015/16 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007779","The Royal Veterinary College","20,598","21,141","9,282","25,966","411","1,935","79,333","43,975","0","23,988","5,563","2,846","76,372"
"10007803","The University of St. Andrews","85,263","40,046","45,054","45,492","1,375","4,156","221,386","117,096","0","75,105","14,852","5,610","212,663"
"10007782","St George's, University of London","28,793","18,791","12,841","24,637","377","33","85,472","48,706","0","27,413","5,307","1,253","82,679"
"10008026","St Mary's University College","3,461","4,535","35","829","30","0","8,890","5,998","0","2,075","274","89","8,436"
"10007843","St Mary's University, Twickenham","38,673","3,941","9","8,254","62","1","50,940","31,782","0","14,912","4,044","406","51,144"
"10007156","The University of Salford","149,879","19,148","6,203","15,565","770","406","191,971","99,491","0","62,828","13,328","6,780","182,427"
"10007780","SOAS University of London","58,736","10,115","5,764","4,349","966","6,833","86,763","50,389","918","26,920","5,221","658","84,106"
"10005700","SRUC","6,315","21,359","17,015","34,768","41","10","79,508","42,240","616","24,008","6,572","639","74,075"
"10005790","Sheffield Hallam University","219,223","22,376","7,944","15,888","936","93","266,460","166,715","0","70,854","20,017","5,782","263,368"
"10007157","The University of Sheffield","273,866","101,077","168,531","86,326","1,724","4,200","635,724","311,851","0","191,892","75,265","17,873","596,881"
"10007158","The University of Southampton","244,048","74,649","112,504","119,258","1,134","3,259","554,852","295,403","0","186,703","30,161","12,804","525,071"
"10006022","Southampton Solent University","92,393","9,686","272","17,251","224","3","119,829","61,680","0","42,208","5,244","3,381","112,513"
"10006299","University of Staffordshire","84,946","13,154","1,165","14,171","427","64","113,927","62,394","0","35,674","9,404","4,917","112,389"
"10007804","The University of Stirling","30,857","42,235","11,492","27,975","488","207","113,254","66,284","0","35,534","10,412","3,548","115,778"
"10037449","University of St Mark and St John","18,447","1,846","116","5,112","56","0","25,577","12,547","0","9,778","1,616","1,069","25,010"
"10008010","Stranmillis University College","3,788","6,285","198","2,505","23","0","12,799","7,043","0","3,473","1,954","160","12,630"
"10007805","The University of Strathclyde","82,187","101,724","59,921","33,346","1,645","2,044","280,867","154,302","0","90,462","25,717","3,418","273,899"
"10014001","University of Suffolk","31,382","3,509","214","2,218","44","17","37,384","16,835","449","16,965","1,953","1,459","37,661"
"10007159","The University of Sunderland","100,805","12,660","1,734","12,849","121","119","128,288","66,351","0","49,244","6,766","5,622","127,983"
"10007160","The University of Surrey","129,749","29,386","38,946","49,641","11,066","702","259,490","134,278","468","85,744","23,417","12,786","256,693"
"10007806","The University of Sussex","144,479","31,453","35,609","46,268","711","2,146","260,666","124,599","0","98,439","14,894","6,523","244,455"
"10007855","Swansea University","140,356","23,418","43,346","88,335","380","457","296,292","129,601","0","89,260","18,277","7,281","244,419"
"10007161","Teesside University","95,792","13,983","3,003","16,950","377","0","130,105","80,260","0","38,516","6,118","1,280","126,174"
"10008017","Trinity Laban Conservatoire of Music and Dance","11,175","6,622","72","4,058","131","2,067","24,125","13,845","0","8,617","1,436","185","24,083"
"10007858","University of Wales Trinity Saint David","53,055","29,295","326","21,269","705","0","104,650","69,190","0","30,625","5,440","3,133","108,388"
"10007114","University of the Highlands and Islands","10,341","76,223","12,738","4,315","112","170","103,899","10,620","0","90,528","599","484","102,231"
"10007807","Ulster University","73,044","77,121","21,522","13,969","1,517","808","187,981","112,405","0","56,541","20,679","1,907","191,532"
"10007784","University College London","421,067","194,311","530,436","181,122","6,911","25,149","1,358,996","692,800","0","472,731","61,587","8,906","1,236,024"
"10007793","University of South Wales","127,658","29,827","4,159","25,466","1,223","2,574","190,907","106,994","1,070","56,911","10,703","6,751","182,429"
"10008574","The University of Wales (central functions)","22","193","734","5,031","503","6","6,489","4,919","133","4,736","409","88","10,285"
"10007163","The University of Warwick","275,232","57,912","117,075","116,905","1,641","4,824","573,589","279,952","0","195,260","32,367","10,075","517,654"
"10007164","University of the West of England, Bristol","179,554","26,307","12,030","38,958","815","644","258,308","142,375","0","79,686","12,402","3,573","238,036"
"10007800","The University of the West of Scotland","23,722","70,914","4,128","8,132","219","75","107,190","69,722","4,273","26,253","8,028","2,847","111,123"
"10006566","The University of West London","65,390","8,376","1,008","11,598","70","742","87,184","40,231","(524)","29,758","4,413","3,871","77,749"
"10007165","The University of Westminster","158,911","20,235","4,122","20,418","155","1,261","205,102","108,253","0","66,632","11,576","6,548","193,009"
"10003614","The University of Winchester","53,672","3,105","441","12,933","226","2","70,379","35,570","0","24,020","5,073","1,953","66,616"
"10007166","The University of Wolverhampton","129,061","17,367","2,415","36,454","1,220","552","187,069","98,894","0","54,850","10,348","3,647","167,739"
"10007139","University of Worcester","71,136","6,804","1,026","12,529","66","24","91,585","46,943","0","29,454","4,193","3,784","84,374"
"10007833","Wrexham University","26,640","4,227","997","7,546","12","31","39,453","23,444","0","12,820","1,585","737","38,586"
"10007657","Writtle University College","7,740","5,825","24","3,672","88","10","17,359","9,963","0","5,387","1,121","684","17,155"
"10007713","York St John University","45,154","2,916","322","10,172","97","23","58,684","29,980","2,337","20,355","4,265","1,340","58,277"
"10007167","The University of York","155,578","40,167","64,607","62,664","627","2,688","326,331","185,096","0","100,526","28,663","9,550","323,835"
"","Total","16,811,104","5,166,655","5,885,905","6,044,943","261,407","577,880","34,747,894","18,046,229","60,534","12,124,794","2,074,483","749,186","33,055,226"
